country,date,experiment_id,order_id,spend_usd,user_bucket,user_id,vertical
JP,4/1/17,12624549,2.06951E+18,4.303694,14,6.74417E+18,GAMES
JP,4/1/17,12624549,3.98327E+18,6.455542,14,6.74417E+18,GAMES
JP,4/1/17,12624549,1.33123E+19,3.227771,14,6.74417E+18,GAMES
JP,4/1/17,12624549,8.77788E+18,3.227771,14,6.74417E+18,GAMES
,,12624549,,0,13,8.67175E+18,
,,12624549,,0,14,1.94256E+18,
,,12624548,,0,16,9.43588E+18,
,,12624548,,0,20,1.7203E+19,
,,12624548,,0,16,1.74719E+19,
,,12624548,,0,19,1.84413E+19,
,,12624549,,0,6,1.00498E+19,
,,12624548,,0,13,1.50137E+19,
,,12624549,,0,12,8.2706E+18,
,,12624549,,0,12,1.53346E+19,
,,12624548,,0,12,9.25724E+18,
,,12624549,,0,14,1.64999E+19,
,,12624548,,0,6,1.76605E+19,
,,12624548,,0,5,1.68232E+19,
,,12624548,,0,14,9.10259E+18,
,,12624549,,0,15,6.8797E+18,
,,12624548,,0,1,1.71896E+19,
,,12624548,,0,19,1.77785E+19,
,,12624548,,0,14,4.06681E+17,
,,12624548,,0,18,1.74887E+19,
,,12624549,,0,1,1.58907E+19,
,,12624548,,0,11,1.34148E+19,
,,12624549,,0,16,5.19749E+18,
,,12624548,,0,5,4.36558E+18,
,,12624548,,0,19,9.919E+18,
,,12624549,,0,12,6.76682E+18,
US,4/6/17,12624548,1.65017E+19,0.99,14,9.65422E+18,GAMES
,,12624549,,0,9,3.43573E+18,
,,12624549,,0,18,1.61706E+19,
,,12624549,,0,14,1.76712E+19,
,,12624549,,0,17,7.22117E+18,
,,12624549,,0,15,1.8223E+18,
,,12624548,,0,8,7.49569E+18,
,,12624548,,0,2,2.6326E+18,
,,12624549,,0,13,1.80175E+19,
,,12624549,,0,15,1.49209E+19,
,,12624549,,0,7,5.19362E+18,
,,12624548,,0,10,2.5611E+18,
,,12624548,,0,18,1.49351E+19,
,,12624548,,0,9,1.49007E+19,
,,12624548,,0,10,1.30775E+19,
,,12624548,,0,4,3.55473E+18,
,,12624548,,0,5,3.03275E+18,
,,12624549,,0,4,3.25487E+18,
,,12624548,,0,7,2.08932E+18,
,,12624548,,0,2,1.27004E+19,
,,12624548,,0,19,8.78807E+18,
,,12624548,,0,19,1.65275E+19,
,,12624548,,0,14,2.02995E+18,
GB,4/7/17,12624549,3.55298E+18,2.467122,18,1.69476E+18,GAMES
GB,4/6/17,12624549,1.33367E+19,2.481801,18,1.69476E+18,GAMES
,,12624548,,0,9,1.72034E+19,
,,12624548,,0,20,1.80135E+19,
,,12624548,,0,10,1.78706E+19,
,,12624548,,0,11,1.12992E+19,
,,12624549,,0,6,1.38231E+19,
,,12624549,,0,18,3.86185E+18,
